date,R01_rate_usd_mt,R02_rate_usd_mt,R03_rate_usd_mt,R04_rate_usd_mt,R05_rate_usd_mt,R06_rate_usd_mt,R07_rate_usd_mt,R08_rate_usd_mt,R09_rate_usd_mt,R10_rate_usd_mt,R11_rate_usd_mt,R12_rate_usd_mt,R13_rate_usd_mt,R14_rate_usd_mt,R15_rate_usd_mt,R16_rate_usd_mt,R17_rate_usd_mt,R18_rate_usd_mt,R19_rate_usd_mt,R20_rate_usd_mt
2023-08-26,15.95,14.86,15.61,14.42,11.29,13.43,11.42,18.19,17.17,17.9,16.43,25.95,26.38,18.54,20.7,34.68,15.67,14.6,10.84,16.58
2023-08-27,19.73,18.02,19.94,17.64,14.48,17.96,13.65,22.2,20.71,22.38,19.51,29.55,30.18,22.6,24.81,44.5,18.65,17.74,13.87,19.84
2023-08-28,24.56,21.79,25.13,21.44,18.64,23.89,16.34,26.86,24.53,27.57,22.97,33.76,34.27,31.51,29.75,57.05,22.35,21.5,17.51,23.49
2023-08-29,30.57,26.33,31.99,25.91,24.11,29.4,19.31,32.49,29.01,34.11,26.68,38.59,38.84,38.13,35.46,73.44,26.46,26.04,22.1,28
2023-08-30,37.5,31.66,35.4,31.19,25.5,29.4,22.92,39.21,34.48,41.4,31.29,44.22,44.55,45,42.13,78,31.28,31.31,24.6,33.21
2023-08-31,37.5,36,35.4,34.5,25.5,29.4,27.18,43.5,40.92,41.4,36.61,50.5,50.86,45,44.4,78,37.21,35.4,24.6,37.33
2023-09-01,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,57.2,57.88,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-02,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,64.66,66.1,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-03,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-04,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-05,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
2023-09-06,37.5,36,35.4,34.5,25.5,29.4,27.6,43.5,42,41.4,40.5,66,67.5,45,44.4,78,38.4,35.4,24.6,40.5
