date,bdi,bci_capesize,bpi_panamax,bsi_supramax,bhsi_handysize,vlsfo_usd_mt,mgo_usd_mt
2023-08-26,1703,2303,2083,1603,1148,597.57,854.76
2023-08-27,1705,2307,2072,1590,1155,600.79,854.26
2023-08-28,1694,2290,2056,1585,1147,603.24,854.58
2023-08-29,1711,2308,2036,1587,1139,606.13,854.2
2023-08-30,1711,2306,2023,1571,1128,610.04,858.33
2023-08-31,1725,2312,2039,1576,1125,609,855.96
2023-09-01,1719,2323,2033,1562,1127,606.21,855.47
2023-09-02,1712,2303,2012,1580,1128,602.9,860.38
2023-09-03,1710,2318,1997,1582,1141,600.4,862.17
2023-09-04,1707,2315,2012,1572,1148,602.85,858.08
2023-09-05,1686,2291,2021,1569,1143,602.89,858.25
2023-09-06,1669,2326,2014,1579,1138,604.21,862.36
2023-09-07,1669,2323,2038,1579,1150,602.74,865.24
2023-09-08,1688,2341,2042,1592,1151,601.19,863.6
2023-09-09,1680,2338,2047,1598,1141,601.1,863.1
2023-09-10,1659,2353,2042,1597,1152,598.1,862.31
2023-09-11,1651,2348,2030,1593,1157,601.59,857.43
2023-09-12,1652,2371,2034,1581,1155,598.61,860.52
2023-09-13,1648,2343,2040,1576,1150,597.71,858.61
2023-09-14,1655,2323,2030,1594,1143,599.02,858.7
2023-09-15,1670,2299,2024,1585,1139,596.37,863.23
2023-09-16,1682,2306,2027,1586,1137,594.73,862.06
2023-09-17,1679,2303,2019,1582,1128,596.59,861.09
2023-09-18,1658,2294,2022,1572,1138,599.91,865.68
2023-09-19,1673,2277,2024,1563,1147,602.41,870.45
2023-09-20,1667,2287,2035,1577,1139,603.84,875.32
2023-09-21,1691,2263,2029,1563,1140,601.22,875.24
2023-09-22,1676,2285,2018,1554,1137,603.18,874.26
2023-09-23,1699,2292,2017,1560,1148,603.1,873.74
2023-09-24,1681,2311,2001,1564,1150,601.84,872.51
2023-09-25,1669,2334,2001,1570,1151,598.29,873.7
2023-09-26,1679,2311,2019,1561,1141,597.97,875.96
2023-09-27,1701,2315,1997,1567,1139,597.97,874.51
2023-09-28,1697,2340,2016,1583,1141,594.4,876.71
2023-09-29,1687,2349,1993,1583,1145,597.46,874.95
2023-09-30,1706,2381,1992,1583,1154,593.67,870.19
2023-10-01,1484,2074,1730,1379,1007,594.38,871.3
2023-10-02,1470,2091,1745,1394,1006,591.11,870.61
2023-10-03,1490,2120,1742,1389,1016,593.53,869.25
2023-10-04,1484,2094,1763,1394,1025,595.51,872.66
2023-10-05,1470,2093,1745,1388,1020,594.96,874.86
2023-10-06,1480,2077,1743,1398,1023,594.93,877.74
2023-10-07,1494,2064,1731,1403,1018,594,875.03
2023-10-08,1500,2042,1738,1400,1010,594.3,873.79
2023-10-09,1496,2068,1718,1388,1006,595.9,877.13
2023-10-10,1498,2039,1733,1386,999,593.17,875.86
2023-10-11,1480,2027,1743,1377,990,594.82,878.33
2023-10-12,1465,2050,1746,1378,996,598.74,876.08
2023-10-13,1476,2038,1749,1384,991,597.96,876.8
2023-10-14,1481,2025,1759,1380,991,598.02,875.05
2023-10-15,1490,2042,1777,1379,990,596.56,871.36
2023-10-16,1489,2058,1799,1390,993,596.71,866.31
2023-10-17,1507,2062,1786,1398,991,596.3,862.72
2023-10-18,1494,2052,1806,1406,995,598.15,861.04
2023-10-19,1493,2057,1814,1398,1001,599.46,857.88
2023-10-20,1481,2076,1808,1409,1010,602.55,856.45
2023-10-21,1475,2063,1811,1418,1016,605.33,855.1
2023-10-22,1459,2046,1804,1424,1022,606.29,857.8
2023-10-23,1451,2053,1820,1410,1020,605.13,861.56
2023-10-24,1456,2040,1812,1424,1025,604.29,861.25
2023-10-25,1442,2015,1800,1435,1030,602.78,856.29
2023-10-26,1424,1999,1790,1439,1039,602.07,855.75
2023-10-27,1437,1975,1812,1431,1046,602.59,852.72
2023-10-28,1420,1978,1813,1431,1039,605.62,856.78
2023-10-29,1431,1997,1815,1425,1033,602.15,861.65
2023-10-30,1421,2023,1833,1427,1040,599.32,863.72
2023-10-31,1413,2051,1819,1442,1031,602.93,867.61
2023-11-01,1427,2068,1841,1435,1029,600.3,863.92
2023-11-02,1427,2091,1854,1424,1023,603.35,861.3
2023-11-03,1424,2107,1846,1416,1023,600.17,859.27
2023-11-04,1445,2105,1834,1420,1029,600.39,861.07
2023-11-05,1439,2113,1830,1432,1031,599.92,864.16
2023-11-06,1438,2141,1819,1439,1021,602.35,861.57
