week,port,region,shipping_mode,avg_wait_days,disruption_index,freight_rate_usd,fuel_price_usd,backlog_teu,on_time_pct
2018-09-09,New York/New Jersey,Europe,container,5.98,30.02,1874.72,2.09,24469,69.03
2023-05-14,Hamburg,Middle East,ro-ro,4.03,31.82,2360.95,2.67,27475,72.39
2016-12-18,Manzanillo,Europe,container,5.67,17.86,2532.33,2.47,19174,73.3
2016-12-18,Jebel Ali,Middle East,container,1.78,41.45,2175.53,2.62,22020,74.0
2017-02-26,Los Angeles,Africa,container,4.61,49.69,2238.41,1.75,21911,65.87
2017-08-06,Hamburg,North America,tanker,5.17,47.12,2817.36,3.45,21000,65.52
2017-10-22,Tanjung Priok,North America,container,0.42,15.46,3142.13,2.42,9794,84.52
2017-01-29,Durban,Africa,tanker,2.51,53.02,1573.33,2.71,16803,69.07
2016-09-04,Antwerp,Europe,ro-ro,6.81,58.85,2507.23,2.16,25772,58.72
2023-09-17,Rotterdam,Asia,tanker,6.36,21.96,2608.78,3.64,13746,70.69
2024-05-26,Houston,Europe,container,3.13,13.44,2116.08,2.11,16185,79.71
2020-03-29,Durban,North America,container,1.37,17.34,949.85,2.48,16542,82.06
2015-11-15,Savannah,South America,tanker,2.72,61.98,2575.76,3.06,24235,65.97
2017-01-08,Manzanillo,Middle East,bulk,4.08,26.54,1907.35,1.04,9363,73.88
2015-01-11,Hamburg,North America,bulk,2.29,70.51,3514.07,0.82,25287,64.27
2023-05-21,Jebel Ali,Europe,tanker,3.63,29.49,1785.97,1.78,13835,73.89
2020-08-16,Hamburg,Africa,ro-ro,4.94,40.55,2366.34,2.51,24805,67.96
2017-03-19,Santos,Europe,container,4.74,62.19,2864.17,3.33,31868,61.86
2019-05-26,Savannah,Asia,tanker,0.2,30.08,2169.0,2.82,16176,80.58
2016-07-03,Tanjung Priok,Asia,container,1.48,53.36,2594.02,2.73,18173,71.03
2022-01-30,New York/New Jersey,North America,bulk,2.27,5.28,2189.27,2.53,12491,83.88
2018-07-01,Felixstowe,South America,tanker,3.89,23.38,2363.71,3.14,9984,75.21
2018-07-22,Felixstowe,Europe,tanker,6.57,21.84,2299.96,2.17,8993,70.31
2020-08-16,Busan,North America,tanker,1.5,23.83,1809.86,3.11,23433,79.85
2024-10-20,Busan,Asia,container,3.75,27.61,2522.15,2.63,20358,74.22
2015-01-18,Houston,Africa,bulk,6.88,24.16,1016.97,2.7,15204,68.99
2021-04-11,Houston,Middle East,ro-ro,6.12,9.81,2240.62,1.15,9986,74.82
2024-05-19,New York/New Jersey,North America,ro-ro,5.59,32.12,2598.54,1.82,17888,69.18
2020-06-21,Houston,North America,tanker,2.17,6.59,1537.3,3.13,16919,83.68
2017-07-02,Rotterdam,Middle East,tanker,4.17,5.68,2778.98,3.14,7976,79.96
2021-04-04,Santos,Middle East,ro-ro,2.85,30.1,2345.92,2.35,21455,75.27
2023-02-12,Tanjung Priok,Africa,tanker,1.25,34.37,1943.77,2.75,22629,77.19
2017-09-17,Hamburg,Middle East,ro-ro,3.58,15.38,1876.85,2.61,18193,78.23
2024-10-06,Durban,South America,ro-ro,6.67,50.41,2189.74,3.61,24714,61.54
2019-07-07,Jebel Ali,North America,ro-ro,1.61,12.01,3081.42,3.25,16836,83.18
2019-04-21,New York/New Jersey,Europe,tanker,3.74,36.72,2957.32,2.51,19338,71.5
2015-01-18,Antwerp,North America,tanker,0.46,20.95,2538.18,2.95,12582,82.8
2024-04-21,Houston,North America,container,4.24,27.1,1254.95,1.44,17571,73.39
2021-11-07,Busan,Europe,tanker,1.07,21.12,2097.29,2.17,17059,81.52
2024-01-14,Houston,South America,ro-ro,4.07,33.08,2527.86,2.05,20594,71.94
2019-10-06,Antwerp,Europe,container,2.04,36.21,2389.73,1.95,28725,75.06
2017-09-17,Savannah,Africa,bulk,3.41,13.79,2373.03,2.01,9670,79.04
2022-05-29,Los Angeles,Africa,ro-ro,3.27,6.69,1941.87,2.16,15835,81.45
2022-04-17,Long Beach,Africa,container,4.49,29.37,2113.1,2.7,9339,72.21
2016-06-12,Santos,South America,bulk,2.96,0.93,1098.13,2.07,15832,83.8
2015-08-02,Houston,Asia,bulk,5.28,28.13,1893.83,2.62,19025,71.0
2016-07-17,Hamburg,North America,container,4.39,32.21,2595.27,2.52,16453,71.56
2023-03-05,Houston,Europe,ro-ro,2.33,61.28,2226.67,2.56,16807,66.96
2017-10-01,Manzanillo,Africa,tanker,1.87,8.67,845.51,1.19,16455,83.66
2024-03-24,Felixstowe,Africa,tanker,5.22,37.32,1944.23,1.67,18890,68.36
2023-09-17,Los Angeles,Asia,container,0.49,22.93,1808.5,1.99,18038,82.14
2018-01-21,Long Beach,Africa,container,5.66,39.94,2160.57,1.41,15077,66.7
2018-05-27,Manzanillo,Europe,container,3.76,19.52,2530.72,2.6,16872,76.62
2022-10-09,Felixstowe,Africa,ro-ro,3.61,36.22,2073.39,1.08,13848,71.91
2020-01-26,Colombo,South America,tanker,3.05,36.62,2797.16,2.88,24296,72.91
2019-06-16,Felixstowe,Europe,tanker,2.11,25.33,1672.78,2.66,17724,78.18
2016-10-23,Manzanillo,Middle East,bulk,4.48,35.95,3183.68,2.26,19076,70.26
2019-02-24,Jebel Ali,South America,container,2.16,39.36,3113.27,2.45,24119,73.87
2019-04-21,Jebel Ali,Europe,container,0.2,29.03,2991.17,2.36,13262,80.89
2024-03-10,Santos,Asia,ro-ro,7.69,19.2,1332.95,2.69,11482,68.86
2022-06-19,Rotterdam,North America,tanker,6.48,33.29,2542.84,2.89,14292,67.05
2023-04-30,Antwerp,Asia,container,2.52,55.05,2621.09,1.98,24434,68.44
2017-01-15,New York/New Jersey,Asia,tanker,5.78,27.03,1848.46,3.24,7020,70.33
2015-07-19,Hamburg,Asia,bulk,5.09,5.52,2582.82,2.62,8108,78.16
2017-02-05,New York/New Jersey,Europe,container,0.99,29.67,1960.94,2.66,25384,79.12
2021-01-24,Antwerp,South America,bulk,3.2,16.94,2597.86,2.91,21846,78.52
2015-08-23,Hamburg,Asia,container,4.06,16.93,3188.15,1.97,16342,76.8
2015-11-15,Colombo,Middle East,container,5.38,38.18,1750.48,1.93,23562,67.79
2015-12-13,Singapore,North America,tanker,1.2,52.47,2604.89,2.81,19542,71.86
2015-03-01,Busan,Asia,ro-ro,5.0,23.58,1649.33,2.14,23556,72.93
2024-10-27,Antwerp,Asia,ro-ro,5.3,19.49,1395.55,1.7,9740,73.55
2021-12-26,Houston,Africa,container,3.01,57.46,2585.51,2.76,22036,66.74
2021-07-04,Felixstowe,Africa,container,3.95,8.91,1088.91,3.25,15562,79.43
2024-11-10,Houston,North America,ro-ro,5.42,26.77,3390.27,2.71,10775,71.13
2024-05-12,Colombo,North America,tanker,1.56,8.14,1253.63,1.7,14098,84.44
2018-03-04,Houston,Africa,ro-ro,4.47,8.81,2851.13,2.82,18542,78.42
2016-07-17,New York/New Jersey,Africa,bulk,1.46,29.62,1764.51,2.87,17233,78.19
2019-03-24,Houston,Africa,bulk,2.26,22.05,1883.04,1.92,18374,78.87
2024-11-03,Manzanillo,Africa,tanker,4.62,48.57,3421.5,2.47,20312,66.19
2023-10-15,Houston,Asia,tanker,2.38,18.89,928.74,2.54,13255,79.57
2022-01-23,Tanjung Priok,Middle East,container,4.36,46.85,3134.44,2.9,19481,67.22
2022-08-07,Hamburg,Europe,container,2.23,30.42,1932.76,2.1,14592,76.41
2017-12-31,Colombo,Africa,ro-ro,2.6,16.96,1500.31,2.49,18622,79.71
2016-11-27,Los Angeles,Europe,tanker,1.62,19.2,520.06,2.59,16372,81.0
2016-09-18,Santos,North America,ro-ro,3.88,52.62,2872.96,2.25,15362,66.45
2021-02-28,Rotterdam,Asia,bulk,4.18,38.81,1895.25,2.51,20509,70.0
2016-05-01,Shanghai,South America,tanker,1.21,42.67,2310.1,3.36,20739,74.78
2021-12-05,New York/New Jersey,North America,bulk,7.07,42.4,3016.02,1.27,19296,63.14
2024-01-14,Shanghai,Middle East,tanker,2.11,47.72,2355.87,2.17,20620,71.46
2023-09-03,Houston,North America,ro-ro,4.04,29.78,3355.87,2.12,22200,72.99
2015-10-11,Busan,Asia,ro-ro,1.84,32.23,2592.03,2.93,14097,76.65
2023-01-08,Tanjung Priok,Africa,bulk,2.85,36.85,2283.86,1.92,26018,73.24
2023-08-27,Busan,South America,tanker,5.38,38.02,1835.2,2.25,24892,67.83
2022-05-01,New York/New Jersey,Africa,ro-ro,0.55,20.9,1262.39,2.52,14470,82.63
2024-12-08,Valencia,Asia,container,5.72,18.91,1165.83,2.63,17471,72.89
2016-02-14,Hamburg,Africa,container,3.36,40.83,3330.45,2.04,20290,71.03
2018-01-14,Savannah,Asia,ro-ro,5.87,3.63,2448.85,2.03,17294,77.17
2018-02-11,Colombo,Middle East,container,4.85,23.75,2861.78,2.76,21395,73.18
2019-05-19,Jebel Ali,Middle East,container,1.74,30.41,2809.09,1.87,29785,77.4
2021-11-07,Valencia,Middle East,ro-ro,1.72,12.27,2576.26,2.61,22851,82.88
2017-02-19,New York/New Jersey,Europe,container,2.9,25.45,1716.11,1.67,20684,76.56
2022-10-16,Felixstowe,Europe,ro-ro,6.46,36.98,2852.67,1.83,15015,65.99
